case,index,x,exact,qtt,abs_error
single_scale_1d,79,0.2187500000000000,0.9532752783750715,0.9532752783661107,0.0000000000089608
single_scale_1d,80,0.2343750000000000,0.9465498512981596,0.9465498512921209,0.0000000000060387
single_scale_1d,81,0.2500000000000000,0.9394130628134758,0.9394130628131091,0.0000000000003667
single_scale_1d,82,0.2656250000000000,0.9318749560510373,0.9318749560578438,0.0000000000068064
single_scale_1d,83,0.2812500000000000,0.9239460814058078,0.9239460814153135,0.0000000000095057
single_scale_1d,84,0.2968750000000000,0.9156374719519708,0.9156374719648381,0.0000000000128674
single_scale_1d,85,0.3125000000000000,0.9069606178873836,0.9069606179013613,0.0000000000139777
single_scale_1d,86,0.3281250000000000,0.8979274400909730,0.8979274401030646,0.0000000000120915
single_scale_1d,87,0.3437500000000000,0.8885502628781267,0.8885502628877479,0.0000000000096212
single_scale_1d,88,0.3593750000000000,0.8788417860410743,0.8788417860451380,0.0000000000040636
single_scale_1d,89,0.3750000000000000,0.8688150562628432,0.8688150562609375,0.0000000000019057
single_scale_1d,90,0.3906250000000000,0.8584834379945899,0.8584834379878291,0.0000000000067608
single_scale_1d,91,0.4062500000000000,0.8478605838869830,0.8478605838749813,0.0000000000120017
single_scale_1d,92,0.4218750000000000,0.8369604048668063,0.8369604048541972,0.0000000000126091
single_scale_1d,93,0.4375000000000000,0.8257970399501007,0.8257970399373002,0.0000000000128004
single_scale_1d,94,0.4531250000000000,0.8143848258829455,0.8143848258697918,0.0000000000131537
single_scale_1d,95,0.4687500000000000,0.8027382667004205,0.8027382666907187,0.0000000000097018
single_scale_1d,96,0.4843750000000000,0.7908720032933764,0.7908720032885750,0.0000000000048014
single_scale_1d,97,0.5000000000000000,0.7788007830714049,0.7788007830715031,0.0000000000000983
single_scale_1d,98,0.5156250000000000,0.7665394298088249,0.7665394298135183,0.0000000000046934
single_scale_1d,99,0.5312500000000000,0.7541028137586228,0.7541028137674940,0.0000000000088712
single_scale_1d,100,0.5468750000000000,0.7415058221170969,0.7415058221293198,0.0000000000122229
single_scale_1d,101,0.5625000000000000,0.7287633299194912,0.7287633299325881,0.0000000000130969
single_scale_1d,102,0.5781250000000000,0.7158901714441513,0.7158901714558297,0.0000000000116783
single_scale_1d,103,0.5937500000000000,0.7029011121997449,0.7029011122092770,0.0000000000095320
single_scale_1d,104,0.6093750000000000,0.6898108215668460,0.6898108215725567,0.0000000000057107
single_scale_1d,105,0.6250000000000000,0.6766338461617289,0.6766338461632416,0.0000000000015127
single_scale_1d,106,0.6406250000000000,0.6633845839865529,0.6633845839831214,0.0000000000034315
single_scale_1d,107,0.6562500000000000,0.6500772594262845,0.6500772594199349,0.0000000000063496
single_scale_1d,108,0.6718750000000000,0.6367258991486957,0.6367258991382699,0.0000000000104258
single_scale_1d,109,0.6875000000000000,0.6233443089596343,0.6233443089479785,0.0000000000116558
single_scale_1d,110,0.7031250000000000,0.6099460516614994,0.6099460516518699,0.0000000000096295
single_scale_1d,111,0.7187500000000000,0.5965444259584850,0.5965444259505598,0.0000000000079252
single_scale_1d,112,0.7343750000000000,0.5831524464477202,0.5831524464434509,0.0000000000042694
single_scale_1d,113,0.7500000000000000,0.5697828247309230,0.5697828247310047,0.0000000000000817
single_scale_1d,114,0.7656250000000000,0.5564479516766548,0.5564479516802160,0.0000000000035612
single_scale_1d,115,0.7812500000000000,0.5431598808587053,0.5431598808667646,0.0000000000080593
single_scale_1d,116,0.7968750000000000,0.5299303131915846,0.5299303131995771,0.0000000000079925
single_scale_1d,117,0.8125000000000000,0.5167705827795767,0.5167705827872056,0.0000000000076289
single_scale_1d,118,0.8281250000000000,0.5036916439913174,0.5036916439982971,0.0000000000069798
single_scale_1d,119,0.8437500000000000,0.4907040597674412,0.4907040597694154,0.0000000000019741
single_scale_1d,120,0.8593750000000000,0.4778179911644942,0.4778179911631916,0.0000000000013026
single_scale_1d,121,0.8750000000000000,0.4650431881340563,0.4650431881292992,0.0000000000047571
single_scale_1d,122,0.8906250000000000,0.4523889815318864,0.4523889815261593,0.0000000000057272
single_scale_1d,123,0.9062500000000000,0.4398642763478829,0.4398642763416128,0.0000000000062701
single_scale_1d,124,0.9218750000000000,0.4274775461437875,0.4274775461416670,0.0000000000021205
single_scale_1d,125,0.9375000000000000,0.4152368286818413,0.4152368286833827,0.0000000000015414
single_scale_1d,126,0.9531250000000000,0.4031497227240500,0.4031497227267301,0.0000000000026801
