x_index,y_index,x,y,source_u_periodic,source_v,source_exact,periodic_exact,periodic_qtt,periodic_abs_error,antiperiodic_exact,antiperiodic_qtt,antiperiodic_abs_error,open_exact,open_qtt,open_abs_error
1,52,0,51,51,51,0.0062497803723306,-0.6531996760640666,-0.6531996760640666,0.0000000000000000,-0.6531996760640666,-0.6531996760640666,0.0000000000000000,-0.6531996760640666,-0.6531996760640666,0.0000000000000000
1,53,0,52,52,52,0.0145650208859080,-0.6368669582374689,-0.6368669582374695,0.0000000000000007,-0.6368669582374689,-0.6368669582374695,0.0000000000000007,-0.6368669582374689,-0.6368669582374695,0.0000000000000007
1,54,0,53,53,53,0.0278309653373625,-0.6217186108529660,-0.6217186108529659,0.0000000000000001,-0.6217186108529660,-0.6217186108529659,0.0000000000000001,-0.6217186108529660,-0.6217186108529659,0.0000000000000001
1,55,0,54,54,54,0.0468152333819793,-0.6024570762967763,-0.6024570762967763,0.0000000000000000,-0.6024570762967763,-0.6024570762967763,0.0000000000000000,-0.6024570762967763,-0.6024570762967763,0.0000000000000000
1,56,0,55,55,55,0.0720003219810152,-0.5736629954874130,-0.5736629954874140,0.0000000000000010,-0.5736629954874130,-0.5736629954874140,0.0000000000000010,-0.5736629954874130,-0.5736629954874140,0.0000000000000010
1,57,0,56,56,56,0.1035533905932737,-0.5303300858899109,-0.5303300858899107,0.0000000000000002,-0.5303300858899109,-0.5303300858899107,0.0000000000000002,-0.5303300858899109,-0.5303300858899107,0.0000000000000002
1,58,0,57,57,57,0.1413089065805607,-0.4683683735693663,-0.4683683735693658,0.0000000000000005,-0.4683683735693663,-0.4683683735693658,0.0000000000000005,-0.4683683735693663,-0.4683683735693658,0.0000000000000005
1,59,0,58,58,58,0.1847649230234509,-0.3850317469691371,-0.3850317469691377,0.0000000000000006,-0.3850317469691371,-0.3850317469691377,0.0000000000000006,-0.3850317469691371,-0.3850317469691377,0.0000000000000006
1,60,0,59,59,59,0.2330932290985410,-0.2792322863198697,-0.2792322863198701,0.0000000000000004,-0.2792322863198697,-0.2792322863198701,0.0000000000000004,-0.2792322863198697,-0.2792322863198701,0.0000000000000004
1,61,0,60,60,60,0.2851630709590062,-0.1517135492372688,-0.1517135492372682,0.0000000000000006,-0.1517135492372688,-0.1517135492372682,0.0000000000000006,-0.1517135492372688,-0.1517135492372682,0.0000000000000006
1,62,0,61,61,61,0.3395776096112038,-0.0050671227290425,-0.0050671227290427,0.0000000000000002,-0.0050671227290425,-0.0050671227290427,0.0000000000000002,-0.0050671227290425,-0.0050671227290427,0.0000000000000002
1,63,0,62,62,62,0.3947217821103425,0.1564097599305855,0.1564097599305860,0.0000000000000006,0.1564097599305855,0.1564097599305860,0.0000000000000006,0.1564097599305855,0.1564097599305860,0.0000000000000006
