x_index,y_index,x,y,exact,interleaved_qtt,grouped_qtt,interleaved_abs_error,grouped_abs_error
1,77,-2.0000000000000000,0.3750000000000000,0.7744556064836281,0.7744556064836278,0.7744556064836280,0.0000000000000003,0.0000000000000001
1,78,-2.0000000000000000,0.4062500000000000,0.7645525884145927,0.7645525884145926,0.7645525884145926,0.0000000000000001,0.0000000000000001
1,79,-2.0000000000000000,0.4375000000000000,0.7539029977176362,0.7539029977176362,0.7539029977176364,0.0000000000000000,0.0000000000000001
1,80,-2.0000000000000000,0.4687500000000000,0.7425172335373482,0.7425172335373482,0.7425172335373482,0.0000000000000000,0.0000000000000000
1,81,-2.0000000000000000,0.5000000000000000,0.7304064138792309,0.7304064138792309,0.7304064138792309,0.0000000000000000,0.0000000000000000
1,82,-2.0000000000000000,0.5312500000000000,0.7175823647531564,0.7175823647531564,0.7175823647531565,0.0000000000000000,0.0000000000000001
1,83,-2.0000000000000000,0.5625000000000000,0.7040576086254691,0.7040576086254693,0.7040576086254691,0.0000000000000002,0.0000000000000000
1,84,-2.0000000000000000,0.5937500000000000,0.6898453521910085,0.6898453521910086,0.6898453521910085,0.0000000000000001,0.0000000000000000
1,85,-2.0000000000000000,0.6250000000000000,0.6749594734769973,0.6749594734769969,0.6749594734769971,0.0000000000000003,0.0000000000000001
1,86,-2.0000000000000000,0.6562500000000000,0.6594145082913820,0.6594145082913822,0.6594145082913820,0.0000000000000001,0.0000000000000000
1,87,-2.0000000000000000,0.6875000000000000,0.6432256360288643,0.6432256360288644,0.6432256360288643,0.0000000000000001,0.0000000000000000
1,88,-2.0000000000000000,0.7187500000000000,0.6264086648484790,0.6264086648484791,0.6264086648484790,0.0000000000000001,0.0000000000000000
1,89,-2.0000000000000000,0.7500000000000000,0.6089800162371949,0.6089800162371949,0.6089800162371950,0.0000000000000000,0.0000000000000001
1,90,-2.0000000000000000,0.7812500000000000,0.5909567089746122,0.5909567089746124,0.5909567089746122,0.0000000000000002,0.0000000000000000
1,91,-2.0000000000000000,0.8125000000000000,0.5723563425144123,0.5723563425144124,0.5723563425144121,0.0000000000000001,0.0000000000000001
