x_index,y_index,x,y,exact,qtt,abs_error
1,60,-1.0000000000000000,0.8437500000000000,0.5708042542754577,0.5708042540761873,0.0000000001992704
1,61,-1.0000000000000000,0.8750000000000000,0.5538248528902734,0.5538248532254476,0.0000000003351742
1,62,-1.0000000000000000,0.9062500000000000,0.5372620621628995,0.5372620625076564,0.0000000003447569
1,63,-1.0000000000000000,0.9375000000000000,0.5211302011236870,0.5211302010668711,0.0000000000568159
1,64,-1.0000000000000000,0.9687500000000000,0.5054393966317202,0.5054393964913743,0.0000000001403460
2,1,-0.9687500000000000,-1.0000000000000000,0.5054393966317202,0.5054393964913690,0.0000000001403512
2,2,-0.9687500000000000,-0.9687500000000000,0.5216611647715694,0.5216622172177232,0.0000010524461538
2,3,-0.9687500000000000,-0.9375000000000000,0.5383919745946287,0.5383923403268182,0.0000003657321894
2,4,-0.9687500000000000,-0.9062500000000000,0.5556279029387506,0.5556259596334587,0.0000019433052919
2,5,-0.9687500000000000,-0.8750000000000000,0.5733611055118816,0.5733594203099786,0.0000016852019030
2,6,-0.9687500000000000,-0.8437500000000000,0.5915792392660720,0.5915801551475216,0.0000009158814496
2,7,-0.9687500000000000,-0.8125000000000000,0.6102648454075187,0.6102679162789485,0.0000030708714298
2,8,-0.9687500000000000,-0.7812500000000000,0.6293946993165167,0.6293974161451250,0.0000027168286083
2,9,-0.9687500000000000,-0.7500000000000000,0.6489391366067581,0.6489391681569329,0.0000000315501748
2,10,-0.9687500000000000,-0.7187500000000000,0.6688613680305168,0.6688583132363956,0.0000030547941212
2,11,-0.9687500000000000,-0.6875000000000000,0.6891167999138604,0.6891124347099550,0.0000043652039055
2,12,-0.9687500000000000,-0.6562500000000000,0.7096523812163885,0.7096495075545944,0.0000028736617941
2,13,-0.9687500000000000,-0.6250000000000000,0.7304060030243373,0.7304067311458059,0.0000007281214686
2,14,-0.9687500000000000,-0.5937500000000000,0.7513059810999589,0.7513104360454433,0.0000044549454844
2,15,-0.9687500000000000,-0.5625000000000000,0.7722706567317265,0.7722767802976771,0.0000061235659506
2,16,-0.9687500000000000,-0.5312500000000000,0.7932081551713454,0.7932126918094600,0.0000045366381146
2,17,-0.9687500000000000,-0.5000000000000000,0.8140163439219052,0.8140165109332150,0.0000001670113098
2,18,-0.9687500000000000,-0.4687500000000000,0.8345830344917520,0.8345780100475558,0.0000050244441961
2,19,-0.9687500000000000,-0.4375000000000000,0.8547864703328992,0.8547778320465452,0.0000086382863540
2,20,-0.9687500000000000,-0.4062500000000000,0.8744961399193824,0.8744867839599647,0.0000093559594176
2,21,-0.9687500000000000,-0.3750000000000000,0.8935739467346155,0.8935657218972579,0.0000082248373576
2,22,-0.9687500000000000,-0.3437500000000000,0.9118757569281185,0.9118668559750743,0.0000089009530442
2,23,-0.9687500000000000,-0.3125000000000000,0.9292533304294166,0.9292371065236403,0.0000162239057763
2,24,-0.9687500000000000,-0.2812500000000000,0.9455566225899387,0.9455236246660073,0.0000329979239314
2,25,-0.9687500000000000,-0.2500000000000000,0.9606364216293294,0.9605807922366292,0.0000556293927002
2,26,-0.9687500000000000,-0.2187500000000000,0.9743472634543655,0.9742770711757696,0.0000701922785959
2,27,-0.9687500000000000,-0.1875000000000000,0.9865505414466839,0.9864992271882038,0.0000513142584800
2,28,-0.9687500000000000,-0.1562500000000000,0.9971177066292747,0.9971510861181657,0.0000333794888910
2,29,-0.9687500000000000,-0.1250000000000000,1.0059334354984479,1.0061446276578005,0.0002111921593526
2,30,-0.9687500000000000,-0.0937500000000000,1.0128986310041941,1.0133835875716923,0.0004849565674983
2,31,-0.9687500000000000,-0.0625000000000000,1.0179331186130660,1.0187447294410998,0.0008116108280338
2,32,-0.9687500000000000,-0.0312500000000000,1.0209779054000159,1.0220706783158755,0.0010927729158596
2,33,-0.9687500000000000,0.0000000000000000,1.0219968861032376,1.0232020358948049,0.0012051497915673
2,34,-0.9687500000000000,0.0312500000000000,1.0209779054000159,1.0220706783158748,0.0010927729158590
2,35,-0.9687500000000000,0.0625000000000000,1.0179331186130660,1.0187447294410981,0.0008116108280320
2,36,-0.9687500000000000,0.0937500000000000,1.0128986310041941,1.0133835875716950,0.0004849565675009
2,37,-0.9687500000000000,0.1250000000000000,1.0059334354984479,1.0061446276577790,0.0002111921593311
2,38,-0.9687500000000000,0.1562500000000000,0.9971177066292747,0.9971510861181583,0.0000333794888836
2,39,-0.9687500000000000,0.1875000000000000,0.9865505414466839,0.9864992271881932,0.0000513142584907
2,40,-0.9687500000000000,0.2187500000000000,0.9743472634543655,0.9742770711757689,0.0000701922785966
2,41,-0.9687500000000000,0.2500000000000000,0.9606364216293294,0.9605807922366294,0.0000556293927000
2,42,-0.9687500000000000,0.2812500000000000,0.9455566225899387,0.9455236246660047,0.0000329979239340
2,43,-0.9687500000000000,0.3125000000000000,0.9292533304294166,0.9292371065235878,0.0000162239058288
2,44,-0.9687500000000000,0.3437500000000000,0.9118757569281185,0.9118668559751348,0.0000089009529837
2,45,-0.9687500000000000,0.3750000000000000,0.8935739467346155,0.8935657218971887,0.0000082248374268
2,46,-0.9687500000000000,0.4062500000000000,0.8744961399193824,0.8744867839600117,0.0000093559593707
2,47,-0.9687500000000000,0.4375000000000000,0.8547864703328992,0.8547778320465156,0.0000086382863836
2,48,-0.9687500000000000,0.4687500000000000,0.8345830344917520,0.8345780100475702,0.0000050244441818
2,49,-0.9687500000000000,0.5000000000000000,0.8140163439219052,0.8140165109332177,0.0000001670113124
2,50,-0.9687500000000000,0.5312500000000000,0.7932081551713454,0.7932126918094331,0.0000045366380877
2,51,-0.9687500000000000,0.5625000000000000,0.7722706567317265,0.7722767802977777,0.0000061235660512
2,52,-0.9687500000000000,0.5937500000000000,0.7513059810999589,0.7513104360452457,0.0000044549452868
2,53,-0.9687500000000000,0.6250000000000000,0.7304060030243373,0.7304067311460173,0.0000007281216799
2,54,-0.9687500000000000,0.6562500000000000,0.7096523812163885,0.7096495075544375,0.0000028736619511
2,55,-0.9687500000000000,0.6875000000000000,0.6891167999138604,0.6891124347100364,0.0000043652038241
2,56,-0.9687500000000000,0.7187500000000000,0.6688613680305168,0.6688583132363602,0.0000030547941565
2,57,-0.9687500000000000,0.7500000000000000,0.6489391366067581,0.6489391681569296,0.0000000315501716
2,58,-0.9687500000000000,0.7812500000000000,0.6293946993165167,0.6293974161451319,0.0000027168286152
2,59,-0.9687500000000000,0.8125000000000000,0.6102648454075187,0.6102679162789448,0.0000030708714261
2,60,-0.9687500000000000,0.8437500000000000,0.5915792392660720,0.5915801551475683,0.0000009158814963
2,61,-0.9687500000000000,0.8750000000000000,0.5733611055118816,0.5733594203099361,0.0000016852019454
2,62,-0.9687500000000000,0.9062500000000000,0.5556279029387506,0.5556259596335007,0.0000019433052499
2,63,-0.9687500000000000,0.9375000000000000,0.5383919745946287,0.5383923403267965,0.0000003657321678
2,64,-0.9687500000000000,0.9687500000000000,0.5216611647715694,0.5216622172177416,0.0000010524461722
3,1,-0.9375000000000000,-1.0000000000000000,0.5211302011236870,0.5211302010669766,0.0000000000567104
3,2,-0.9375000000000000,-0.9687500000000000,0.5383919745946287,0.5383923403268172,0.0000003657321884
3,3,-0.9375000000000000,-0.9375000000000000,0.5562315313749348,0.5562316584392261,0.0000001270642913
3,4,-0.9375000000000000,-0.9062500000000000,0.5746481402500617,0.5746474650032171,0.0000006752468447
3,5,-0.9375000000000000,-0.8750000000000000,0.5936369539003803,0.5936363683653176,0.0000005855350627
3,6,-0.9375000000000000,-0.8437500000000000,0.6131883398404752,0.6131886579265123,0.0000003180860372
3,7,-0.9375000000000000,-0.8125000000000000,0.6332871561448644,0.6332882227339386,0.0000010665890742
3,8,-0.9375000000000000,-0.7812500000000000,0.6539119773174282,0.6539129208002809,0.0000009434828526
3,9,-0.9375000000000000,-0.7500000000000000,0.6750342790844848,0.6750342897978604,0.0000000107133756
3,10,-0.9375000000000000,-0.7187500000000000,0.6966175950365996,0.6966165338020514,0.0000010612345482
3,11,-0.9375000000000000,-0.6875000000000000,0.7186166629238715,0.7186151465942184,0.0000015163296531
3,12,-0.9375000000000000,-0.6562500000000000,0.7409765839821703,0.7409755856352654,0.0000009983469048
3,13,-0.9375000000000000,-0.6250000000000000,0.7636320248180408,0.7636322773065308,0.0000002524884900
3,14,-0.9375000000000000,-0.5937500000000000,0.7865064978954807,0.7865080448340269,0.0000015469385463
3,15,-0.9375000000000000,-0.5625000000000000,0.8095117632178093,0.8095138903510256,0.0000021271332163
3,16,-0.9375000000000000,-0.5312500000000000,0.8325473999154444,0.8325489775403222,0.0000015776248778
3,17,-0.9375000000000000,-0.5000000000000000,0.8555006015238604,0.8555006645177027,0.0000000629938423
3,18,-0.9375000000000000,-0.4687500000000000,0.8782462520155065,0.8782445167253534,0.0000017352901531
3,19,-0.9375000000000000,-0.4375000000000000,0.9006473402758233,0.9006443571315775,0.0000029831442457
3,20,-0.9375000000000000,-0.4062500000000000,0.9225557677754153,0.9225525460932038,0.0000032216822115
